GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,36,112,15,13,13,26,14,4,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,9,89,1,5,5,25,1,6,0,4
